movie	12 Years a Slave	2013
director	12 Years a Slave	McQueen, Steve
actress	12 Years a Slave	Bennett, Liza J.	Mistress Ford
actress	12 Years a Slave	Chapman, Topsy	Slave Spiritual Singer 1
actress	12 Years a Slave	Collins, Nicole	Rachel
actress	12 Years a Slave	Dyke, Ashley	Anna
actress	12 Years a Slave	Fleming-Alvarez, Vivian	Mulatto Woman
actress	12 Years a Slave	Nyong'o, Lupita	Patsey
actress	12 Years a Slave	Oduye, Adepero	Eliza
actress	12 Years a Slave	Paulson, Sarah	Mistress Epps
actress	12 Years a Slave	Reid, Storm	Emily
actress	12 Years a Slave	Scott, Kelsey	Anne Northup
actress	12 Years a Slave	Tyler, Deneen	Phebe
actress	12 Years a Slave	Tyler, Devyn A.	Margaret Northup
actress	12 Years a Slave	Wallis, Quvenzhan�	Margaret Northup
actress	12 Years a Slave	Woodard, Alfre	Mistress Shaw
actor	12 Years a Slave	Batt, Bryan	Judge Turner
actor	12 Years a Slave	Bentley, Tony	Mr. Moon
actor	12 Years a Slave	Berry, Christopher	Burch
actor	12 Years a Slave	Bright, Gregory	Edward
actor	12 Years a Slave	Brown, Marcus Lyle	Jasper
actor	12 Years a Slave	Camp, Bill	Radburn
actor	12 Years a Slave	Chalk, Chris	Clemens
actor	12 Years a Slave	Cumberbatch, Benedict	Ford
actor	12 Years a Slave	Dano, Paul	Tibeats
actor	12 Years a Slave	Dillahunt, Garret	Armsby
actor	12 Years a Slave	Dylan, Andy	Treach
actor	12 Years a Slave	Ejiofor, Chiwetel	Solomon Northup
actor	12 Years a Slave	Evans, Devin Maurice	Slave Spiritual Singer 2
actor	12 Years a Slave	Evermore, J.D.	Chapin
actor	12 Years a Slave	Fassbender, Michael	Edwin Epps
actor	12 Years a Slave	Giamatti, Paul	Freeman
actor	12 Years a Slave	Glover, Anwan	Cape
actor	12 Years a Slave	Gravois, Dickie	Overseer
actor	12 Years a Slave	Griffin, Douglas M.	Sailor
actor	12 Years a Slave	Harris, Mustafa	Sam
actor	12 Years a Slave	Harrison Jr., Kelvin	Victim 2
actor	12 Years a Slave	Henry, Dwight	Uncle Abram
actor	12 Years a Slave	Holden, Richard	Fitzgerald
actor	12 Years a Slave	Huguley, Jay	Sheriff
actor	12 Years a Slave	Jackson, Isaiah	Zachary
actor	12 Years a Slave	Jean-Baptiste, Willo	Margaret's Husband
actor	12 Years a Slave	Jefferson, Scott Michael	Master Shaw
actor	12 Years a Slave	Killam, Taran	Hamilton
actor	12 Years a Slave	Macaulay, Marc	Captain
actor	12 Years a Slave	Mackey Jr., Mister	Randall
actor	12 Years a Slave	McConnell, John	Jonus Ray
actor	12 Years a Slave	McNairy, Scoot	Brown
actor	12 Years a Slave	Murphy, Thomas Francis	Patroller
actor	12 Years a Slave	Pitt, Brad	Bass
actor	12 Years a Slave	Proctor, Tom	Biddee
actor	12 Years a Slave	Purnell, Austin	Bob
actor	12 Years a Slave	Shanks, Andre De'Sean	Victim 1
actor	12 Years a Slave	Steinberg, Rob	Parker
actor	12 Years a Slave	Tate, Craig	John
actor	12 Years a Slave	Victor, James C.	Buyer
actor	12 Years a Slave	Williams, Michael Kenneth	Robert
actor	12 Years a Slave	Zeigler, Cameron	Alonzo Northup
movie	15 Minutes	2001
director	15 Minutes	Herzfeld, John
actress	15 Minutes	Barr, Roseanne	Herself
actress	15 Minutes	Cattrall, Kim	Cassandra
actress	15 Minutes	Claibourne, Christine	Maggie's Assistant
actress	15 Minutes	Dob�, Kata	Redhead at Ludwig's
actress	15 Minutes	Espinoza, Julieta	Unique's Girlfriend
actress	15 Minutes	Evans, Noelle	Honey the Hooker
actress	15 Minutes	Farmiga, Vera	Daphne Handlova
actress	15 Minutes	Gasanova, Irina	Tamina Karlova
actress	15 Minutes	Greaves, Gail	Talk Show Wife
actress	15 Minutes	Kalem, Toni	Woman at Planet Hollywood
actress	15 Minutes	Kanakaredes, Melina	Nicolette Karas
actress	15 Minutes	Klieman, Rikki	Daphne's Lawyer
actress	15 Minutes	Lopez, Sylvia	TV Newscaster #1
